shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
X1_NB,41.726647,-87.547774,1
X1_NB,41.737792,-87.548332,2
X1_NB,41.74013,-87.548976,3
X1_NB,41.742531,-87.551165,4
X1_NB,41.743364,-87.551465,5
X1_NB,41.746053,-87.551551,6
X1_NB,41.750952,-87.55168,7
X1_NB,41.752233,-87.552538,8
X1_NB,41.758572,-87.559404,9
X1_NB,41.765102,-87.565627,10
X1_NB,41.766126,-87.566528,11
X1_NB,41.766222,-87.567558,12
X1_NB,41.766126,-87.575884,13
X1_NB,41.766062,-87.586913,14
X1_NB,41.766126,-87.589917,15
X1_NB,41.766542,-87.591162,16
X1_NB,41.767343,-87.59202,17
X1_NB,41.768367,-87.592406,18
X1_NB,41.770256,-87.592707,19
X1_NB,41.780241,-87.590475,20
X1_NB,41.788049,-87.58863,21
X1_NB,41.79336,-87.587643,22
X1_NB,41.797328,-87.586827,23
X1_NB,41.800015,-87.586784,24
X1_NB,41.802671,-87.587428,25
X1_NB,41.805902,-87.588587,26
X1_NB,41.80974,-87.591333,27
X1_NB,41.824736,-87.602285,28
X1_NB,41.833918,-87.608886,29
X1_NB,41.844182,-87.61322,30
X1_NB,41.851534,-87.61631,31
X1_NB,41.858502,-87.618198,32
X1_NB,41.863969,-87.620066,33
X1_NB,41.865248,-87.620098,34
X1_NB,41.866398,-87.620222,35
X1_NB,41.867239,-87.620678,36
X1_NB,41.867623,-87.621214,37
X1_NB,41.867719,-87.62189,38
X1_NB,41.867671,-87.622341,39
X1_NB,41.867583,-87.622813,40
X1_NB,41.867487,-87.623381,41
X1_NB,41.867463,-87.623939,42
X1_NB,41.867433,-87.627466,43
X1_NB,41.867255,-87.63897,44
X1_NB,41.867287,-87.639314,45
X1_NB,41.867359,-87.639636,46
X1_NB,41.867471,-87.639882,47
X1_NB,41.867599,-87.640097,48
X1_NB,41.867759,-87.640322,49
X1_NB,41.867926,-87.640505,50
X1_NB,41.868102,-87.640612,51
X1_NB,41.868318,-87.640666,52
X1_NB,41.868573,-87.64073,53
X1_NB,41.86978,-87.640785,54
X1_NB,41.877742,-87.641044,55
X1_NB,41.884432,-87.641273,56
X1_NB,41.888957,-87.641394,57
X1_NB,41.890518,-87.642038,58
X1_NB,41.894399,-87.645987,59
X1_NB,41.895693,-87.647316,60
X1_NB,41.896827,-87.648754,61
X1_NB,41.897434,-87.650192,62
X1_NB,41.898248,-87.652831,63
X1_NB,41.899083,-87.65665,64
X1_NB,41.900265,-87.658753,65
X1_NB,41.901606,-87.659869,66
X1_NB,41.903426,-87.660335,67
X1_NB,41.905727,-87.66047,68
X1_NB,41.907036,-87.660985,69
X1_NB,41.910198,-87.663774,70
X1_NB,41.917096,-87.668152,71
X1_NB,41.927889,-87.672787,72
X1_NB,41.930922,-87.673345,73
X1_NB,41.946957,-87.673744,74
X1_NB,41.968808,-87.674332,75
X1_NB,41.991487,-87.675032,76
X1_NB,42.008999,-87.675533,77
X1_NB,42.015663,-87.676005,78
X1_NB,42.019245,-87.676962,79
X1_NB,42.033421,-87.680254,80
X1_NB,42.044576,-87.682786,81
X1_NB,42.047763,-87.684631,82
X1_NB,42.064332,-87.698193,83
X1_NB,42.077266,-87.709265,84
X1_NB,42.086376,-87.716689,85
X1_NB,42.094497,-87.723813,86
X1_NB,42.105228,-87.732868,87
X1_NB,42.118058,-87.743468,88
X1_NB,42.135691,-87.758145,89
X1_NB,42.152842,-87.772565,90
X1_NB,42.158123,-87.777071,91
X1_NB,42.165153,-87.782736,92
X1_NB,42.179497,-87.795052,93
X1_NB,42.183282,-87.797413,94
X1_SB,42.183282,-87.797413,1
X1_SB,42.179497,-87.795052,2
X1_SB,42.165153,-87.782736,3
X1_SB,42.158123,-87.777071,4
X1_SB,42.152842,-87.772565,5
X1_SB,42.135691,-87.758145,6
X1_SB,42.118058,-87.743468,7
X1_SB,42.105228,-87.732868,8
X1_SB,42.094497,-87.723813,9
X1_SB,42.086376,-87.716689,10
X1_SB,42.077266,-87.709265,11
X1_SB,42.064332,-87.698193,12
X1_SB,42.047763,-87.684631,13
X1_SB,42.044576,-87.682786,14
X1_SB,42.033421,-87.680254,15
X1_SB,42.019245,-87.676962,16
X1_SB,42.015663,-87.676005,17
X1_SB,42.008999,-87.675533,18
X1_SB,41.991487,-87.675032,19
X1_SB,41.968808,-87.674332,20
X1_SB,41.946957,-87.673744,21
X1_SB,41.930922,-87.673345,22
X1_SB,41.927889,-87.672787,23
X1_SB,41.917096,-87.668152,24
X1_SB,41.910198,-87.663774,25
X1_SB,41.907036,-87.660985,26
X1_SB,41.905727,-87.66047,27
X1_SB,41.903426,-87.660335,28
X1_SB,41.901606,-87.659869,29
X1_SB,41.900265,-87.658753,30
X1_SB,41.899083,-87.65665,31
X1_SB,41.898248,-87.652831,32
X1_SB,41.897434,-87.650192,33
X1_SB,41.896827,-87.648754,34
X1_SB,41.895693,-87.647316,35
X1_SB,41.894399,-87.645987,36
X1_SB,41.890518,-87.642038,37
X1_SB,41.888957,-87.641394,38
X1_SB,41.884432,-87.641273,39
X1_SB,41.877742,-87.641044,40
X1_SB,41.86978,-87.640785,41
X1_SB,41.868573,-87.64073,42
X1_SB,41.868318,-87.640666,43
X1_SB,41.868102,-87.640612,44
X1_SB,41.867926,-87.640505,45
X1_SB,41.867759,-87.640322,46
X1_SB,41.867599,-87.640097,47
X1_SB,41.867471,-87.639882,48
X1_SB,41.867359,-87.639636,49
X1_SB,41.867287,-87.639314,50
X1_SB,41.867255,-87.63897,51
X1_SB,41.867433,-87.627466,52
X1_SB,41.867463,-87.623939,53
X1_SB,41.867487,-87.623381,54
X1_SB,41.867583,-87.622813,55
X1_SB,41.867671,-87.622341,56
X1_SB,41.867719,-87.62189,57
X1_SB,41.867623,-87.621214,58
X1_SB,41.867239,-87.620678,59
X1_SB,41.866398,-87.620222,60
X1_SB,41.865248,-87.620098,61
X1_SB,41.863969,-87.620066,62
X1_SB,41.858502,-87.618198,63
X1_SB,41.851534,-87.61631,64
X1_SB,41.844182,-87.61322,65
X1_SB,41.833918,-87.608886,66
X1_SB,41.824736,-87.602285,67
X1_SB,41.80974,-87.591333,68
X1_SB,41.805902,-87.588587,69
X1_SB,41.802671,-87.587428,70
X1_SB,41.800015,-87.586784,71
X1_SB,41.797328,-87.586827,72
X1_SB,41.79336,-87.587643,73
X1_SB,41.788049,-87.58863,74
X1_SB,41.780241,-87.590475,75
X1_SB,41.770256,-87.592707,76
X1_SB,41.768367,-87.592406,77
X1_SB,41.767343,-87.59202,78
X1_SB,41.766542,-87.591162,79
X1_SB,41.766126,-87.589917,80
X1_SB,41.766062,-87.586913,81
X1_SB,41.766126,-87.575884,82
X1_SB,41.766222,-87.567558,83
X1_SB,41.766126,-87.566528,84
X1_SB,41.765102,-87.565627,85
X1_SB,41.758572,-87.559404,86
X1_SB,41.752233,-87.552538,87
X1_SB,41.750952,-87.55168,88
X1_SB,41.746053,-87.551551,89
X1_SB,41.743364,-87.551465,90
X1_SB,41.742531,-87.551165,91
X1_SB,41.74013,-87.548976,92
X1_SB,41.737792,-87.548332,93
X1_SB,41.726647,-87.547774,94
X2_NB,41.726647,-87.547774,1
X2_NB,41.737792,-87.548332,2
X2_NB,41.74013,-87.548976,3
X2_NB,41.742531,-87.551165,4
X2_NB,41.743364,-87.551465,5
X2_NB,41.745349,-87.551508,6
X2_NB,41.750952,-87.55168,7
X2_NB,41.752233,-87.552538,8
X2_NB,41.758572,-87.559404,9
X2_NB,41.765102,-87.565627,10
X2_NB,41.766126,-87.566528,11
X2_NB,41.766222,-87.567558,12
X2_NB,41.766126,-87.575884,13
X2_NB,41.766062,-87.586913,14
X2_NB,41.766126,-87.589917,15
X2_NB,41.766542,-87.591162,16
X2_NB,41.767343,-87.59202,17
X2_NB,41.768367,-87.592406,18
X2_NB,41.770256,-87.592707,19
X2_NB,41.773259,-87.592034,20
X2_NB,41.780241,-87.590475,21
X2_NB,41.788049,-87.58863,22
X2_NB,41.79336,-87.587643,23
X2_NB,41.797328,-87.586827,24
X2_NB,41.800015,-87.586784,25
X2_NB,41.802671,-87.587428,26
X2_NB,41.805902,-87.588587,27
X2_NB,41.80974,-87.591333,28
X2_NB,41.824736,-87.602285,29
X2_NB,41.833918,-87.608886,30
X2_NB,41.844182,-87.61322,31
X2_NB,41.851534,-87.61631,32
X2_NB,41.858502,-87.618198,33
X2_NB,41.863969,-87.620066,34
X2_NB,41.866105,-87.620174,35
X2_NB,41.866398,-87.620222,36
X2_NB,41.866928,-87.62042,37
X2_NB,41.867239,-87.620678,38
X2_NB,41.867471,-87.620946,39
X2_NB,41.867623,-87.621214,40
X2_NB,41.867711,-87.621547,41
X2_NB,41.867719,-87.62189,42
X2_NB,41.867671,-87.622341,43
X2_NB,41.867583,-87.622813,44
X2_NB,41.867487,-87.623381,45
X2_NB,41.867463,-87.623939,46
X2_NB,41.867433,-87.627466,47
X2_NB,41.867255,-87.63897,48
X2_NB,41.867287,-87.639314,49
X2_NB,41.867359,-87.639636,50
X2_NB,41.867471,-87.639882,51
X2_NB,41.867599,-87.640097,52
X2_NB,41.867759,-87.640322,53
X2_NB,41.867926,-87.640505,54
X2_NB,41.868102,-87.640612,55
X2_NB,41.868318,-87.640666,56
X2_NB,41.868573,-87.64073,57
X2_NB,41.86978,-87.640785,58
X2_NB,41.877742,-87.641044,59
X2_NB,41.884432,-87.641273,60
X2_NB,41.888957,-87.641394,61
X2_NB,41.890518,-87.642038,62
X2_NB,41.894399,-87.645987,63
X2_NB,41.895693,-87.647316,64
X2_NB,41.896827,-87.648754,65
X2_NB,41.897434,-87.650192,66
X2_NB,41.898248,-87.652831,67
X2_NB,41.899083,-87.65665,68
X2_NB,41.900265,-87.658753,69
X2_NB,41.901606,-87.659869,70
X2_NB,41.903426,-87.660335,71
X2_NB,41.905727,-87.66047,72
X2_NB,41.907036,-87.660985,73
X2_NB,41.908122,-87.661886,74
X2_NB,41.910198,-87.663774,75
X2_NB,41.917096,-87.668152,76
X2_NB,41.918757,-87.670469,77
X2_NB,41.928346,-87.68772,78
X2_NB,41.939571,-87.707253,79
X2_NB,41.952533,-87.730122,80
X2_NB,41.960616,-87.744389,81
X2_NB,41.971712,-87.76351,82
X2_NB,41.979783,-87.778058,83
X2_NB,41.991586,-87.798872,84
X2_NB,42.002558,-87.818012,85
X2_NB,42.010275,-87.831616,86
X2_NB,42.024144,-87.856207,87
X2_NB,42.040943,-87.886505,88
X2_NB,42.045835,-87.897384,89
X2_NB,42.052479,-87.912254,90
X2_NB,42.063026,-87.936072,91
X2_NB,42.084306,-87.98358,92
X2_NB,42.095261,-88.009114,93
X2_NB,42.11306,-88.048253,94
X2_SB,42.11306,-88.048253,1
X2_SB,42.095261,-88.009114,2
X2_SB,42.084306,-87.98358,3
X2_SB,42.063026,-87.936072,4
X2_SB,42.052479,-87.912254,5
X2_SB,42.045835,-87.897384,6
X2_SB,42.040943,-87.886505,7
X2_SB,42.024144,-87.856207,8
X2_SB,42.010275,-87.831616,9
