trip_id,arrival_time,departure_time,stop_id,stop_sequence
X2_NB_1_0500,05:07:00,05:07:00,crosstownerstation-93rd-south-chicago,1
X2_NB_1_0500,05:10:00,05:10:00,crosstownerstation-87th-street,2
X2_NB_1_0500,05:12:00,05:12:00,crosstownerstation-83rd-street,3
X2_NB_1_0500,05:14:00,05:14:00,crosstownerstation-79th-cheltenham,4
X2_NB_1_0500,05:16:00,05:16:00,metra-windsorpk,5
X2_NB_1_0500,05:18:00,05:18:00,crosstownerstation-south-shore,6
X2_NB_1_0500,05:20:00,05:20:00,metra-brynmawr,7
X2_NB_1_0500,05:22:00,05:22:00,crosstownerstation-stony-island,8
X2_NB_1_0500,05:23:00,05:23:00,crosstownerstation-67th,9
X2_NB_1_0500,05:25:00,05:25:00,crosstownerstation-63rd-street,10
X2_NB_1_0500,05:27:00,05:27:00,crosstownerstation-59th-university-of-chicago,11
X2_NB_1_0500,05:29:00,05:29:00,crosstownerstation-55th-56th-57th,12
X2_NB_1_0500,05:31:00,05:31:00,crosstownerstation-51st-53rd-hyde-park,13
X2_NB_1_0500,05:32:00,05:32:00,crosstownerstation-47th-kenwood,14
X2_NB_1_0500,05:34:00,05:34:00,crosstownerstation-oakwood-blvd,15
X2_NB_1_0500,05:36:00,05:36:00,crosstownerstation-27th-street,16
X2_NB_1_0500,05:38:00,05:38:00,crosstownerstation-mccormick-place,17
X2_NB_1_0500,05:40:00,05:40:00,crosstownerstation-18th-soldier-field,18
X2_NB_1_0500,05:42:00,05:42:00,crosstownerstation-roosevelt,19
X2_NB_1_0500,05:44:00,05:44:00,crosstownerstation-taylor-clinton,20
X2_NB_1_0500,05:46:00,05:46:00,crosstownerstation-union-station,21
X2_NB_1_0500,05:48:00,05:48:00,crosstownerstation-randolph-clinton,22
X2_NB_1_0500,05:51:00,05:51:00,crosstownerstation-chicago-halsted-bally-s,23
X2_NB_1_0500,05:53:00,05:53:00,crosstownerstation-division-elston,24
X2_NB_1_0500,05:56:00,05:56:00,crosstownerstation-clybourn,25
X2_NB_1_0500,05:58:00,05:58:00,crosstownerstation-western-logan,26
X2_NB_1_0500,06:00:00,06:00:00,crosstownerstation-belmont-kedzie,27
X2_NB_1_0500,06:02:00,06:02:00,crosstownerstation-irving-park,28
X2_NB_1_0500,06:04:00,06:04:00,crosstownerstation-montrose-mayfair,29
X2_NB_1_0500,06:06:00,06:06:00,crosstownerstation-jefferson-park,30
X2_NB_1_0500,06:08:00,06:08:00,crosstownerstation-gladstone-park,31
X2_NB_1_0500,06:10:00,06:10:00,crosstownerstation-norwood-park,32
X2_NB_1_0500,06:12:00,06:12:00,crosstownerstation-edison-park,33
X2_NB_1_0500,06:14:00,06:14:00,crosstownerstation-park-ridge,34
X2_NB_1_0500,06:16:00,06:16:00,crosstownerstation-dee-road,35
X2_NB_1_0500,06:19:00,06:19:00,crosstownerstation-des-plaines,36
X2_NB_1_0500,06:22:00,06:22:00,metra-cumberland,37
X2_NB_1_0500,06:25:00,06:25:00,crosstownerstation-mount-prospect,38
X2_NB_1_0500,06:29:00,06:29:00,crosstownerstation-arlington-heights,39
X2_NB_1_0500,06:32:00,06:32:00,crosstownerstation-arlington-park,40
X2_NB_1_0500,06:35:00,06:35:00,crosstownerstation-palatine,41
X2_NB_1_0600,06:07:00,06:07:00,crosstownerstation-93rd-south-chicago,1
X2_NB_1_0600,06:10:00,06:10:00,crosstownerstation-87th-street,2
X2_NB_1_0600,06:12:00,06:12:00,crosstownerstation-83rd-street,3
X2_NB_1_0600,06:14:00,06:14:00,crosstownerstation-79th-cheltenham,4
X2_NB_1_0600,06:16:00,06:16:00,metra-windsorpk,5
X2_NB_1_0600,06:18:00,06:18:00,crosstownerstation-south-shore,6
X2_NB_1_0600,06:20:00,06:20:00,metra-brynmawr,7
X2_NB_1_0600,06:22:00,06:22:00,crosstownerstation-stony-island,8
X2_NB_1_0600,06:23:00,06:23:00,crosstownerstation-67th,9
X2_NB_1_0600,06:25:00,06:25:00,crosstownerstation-63rd-street,10
X2_NB_1_0600,06:27:00,06:27:00,crosstownerstation-59th-university-of-chicago,11
X2_NB_1_0600,06:29:00,06:29:00,crosstownerstation-55th-56th-57th,12
X2_NB_1_0600,06:31:00,06:31:00,crosstownerstation-51st-53rd-hyde-park,13
X2_NB_1_0600,06:32:00,06:32:00,crosstownerstation-47th-kenwood,14
X2_NB_1_0600,06:34:00,06:34:00,crosstownerstation-oakwood-blvd,15
X2_NB_1_0600,06:36:00,06:36:00,crosstownerstation-27th-street,16
X2_NB_1_0600,06:38:00,06:38:00,crosstownerstation-mccormick-place,17
X2_NB_1_0600,06:40:00,06:40:00,crosstownerstation-18th-soldier-field,18
X2_NB_1_0600,06:42:00,06:42:00,crosstownerstation-roosevelt,19
X2_NB_1_0600,06:44:00,06:44:00,crosstownerstation-taylor-clinton,20
X2_NB_1_0600,06:46:00,06:46:00,crosstownerstation-union-station,21
X2_NB_1_0600,06:48:00,06:48:00,crosstownerstation-randolph-clinton,22
X2_NB_1_0600,06:51:00,06:51:00,crosstownerstation-chicago-halsted-bally-s,23
X2_NB_1_0600,06:53:00,06:53:00,crosstownerstation-division-elston,24
