route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
X2,DAILY,X2_NB_1_0500,Palatine,0,X2_NB
X2,DAILY,X2_NB_1_0600,Palatine,0,X2_NB
X2,DAILY,X2_NB_1_0700,Palatine,0,X2_NB
X2,DAILY,X2_NB_1_0800,Palatine,0,X2_NB
X2,DAILY,X2_NB_1_0900,Palatine,0,X2_NB
X2,DAILY,X2_NB_1_1000,Palatine,0,X2_NB
X2,DAILY,X2_NB_1_1100,Palatine,0,X2_NB
X2,DAILY,X2_NB_1_1200,Palatine,0,X2_NB
X2,DAILY,X2_NB_1_1300,Palatine,0,X2_NB
X2,DAILY,X2_NB_1_1400,Palatine,0,X2_NB
X2,DAILY,X2_NB_1_1500,Palatine,0,X2_NB
X2,DAILY,X2_NB_1_1600,Palatine,0,X2_NB
X2,DAILY,X2_NB_1_1700,Palatine,0,X2_NB
X2,DAILY,X2_NB_1_1800,Palatine,0,X2_NB
X2,DAILY,X2_NB_1_1900,Palatine,0,X2_NB
X2,DAILY,X2_NB_1_2000,Palatine,0,X2_NB
X2,DAILY,X2_NB_1_2100,Palatine,0,X2_NB
X3,DAILY,X3_NB_1_0500,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_1_0600,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_1_0700,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_1_0800,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_1_0900,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_1_1000,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_1_1100,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_1_1200,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_1_1300,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_1_1400,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_1_1500,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_1_1600,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_1_1700,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_1_1800,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_1_1900,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_1_2000,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_1_2100,Arlington Park,0,X3_NB
X1,DAILY,X1_NB_1_0500,Highland Park,0,X1_NB
X1,DAILY,X1_NB_1_0600,Highland Park,0,X1_NB
X1,DAILY,X1_NB_1_0700,Highland Park,0,X1_NB
X1,DAILY,X1_NB_1_0800,Highland Park,0,X1_NB
X1,DAILY,X1_NB_1_0900,Highland Park,0,X1_NB
X1,DAILY,X1_NB_1_1000,Highland Park,0,X1_NB
X1,DAILY,X1_NB_1_1100,Highland Park,0,X1_NB
X1,DAILY,X1_NB_1_1200,Highland Park,0,X1_NB
X1,DAILY,X1_NB_1_1300,Highland Park,0,X1_NB
X1,DAILY,X1_NB_1_1400,Highland Park,0,X1_NB
X1,DAILY,X1_NB_1_1500,Highland Park,0,X1_NB
X1,DAILY,X1_NB_1_1600,Highland Park,0,X1_NB
X1,DAILY,X1_NB_1_1700,Highland Park,0,X1_NB
X1,DAILY,X1_NB_1_1800,Highland Park,0,X1_NB
X1,DAILY,X1_NB_1_1900,Highland Park,0,X1_NB
X1,DAILY,X1_NB_1_2000,Highland Park,0,X1_NB
X1,DAILY,X1_NB_1_2100,Highland Park,0,X1_NB
X4,DAILY,X4_NB_1_0500,Winnetka,0,X4_NB
X4,DAILY,X4_NB_1_0600,Winnetka,0,X4_NB
X4,DAILY,X4_NB_1_0700,Winnetka,0,X4_NB
X4,DAILY,X4_NB_1_0800,Winnetka,0,X4_NB
X4,DAILY,X4_NB_1_0900,Winnetka,0,X4_NB
X4,DAILY,X4_NB_1_1000,Winnetka,0,X4_NB
X4,DAILY,X4_NB_1_1100,Winnetka,0,X4_NB
X4,DAILY,X4_NB_1_1200,Winnetka,0,X4_NB
X4,DAILY,X4_NB_1_1300,Winnetka,0,X4_NB
X4,DAILY,X4_NB_1_1400,Winnetka,0,X4_NB
X4,DAILY,X4_NB_1_1500,Winnetka,0,X4_NB
X4,DAILY,X4_NB_1_1600,Winnetka,0,X4_NB
X4,DAILY,X4_NB_1_1700,Winnetka,0,X4_NB
X4,DAILY,X4_NB_1_1800,Winnetka,0,X4_NB
X4,DAILY,X4_NB_1_1900,Winnetka,0,X4_NB
X4,DAILY,X4_NB_1_2000,Winnetka,0,X4_NB
X4,DAILY,X4_NB_1_2100,Winnetka,0,X4_NB
X6,DAILY,X6_NB_1_0500,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_1_0600,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_1_0700,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_1_0800,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_1_0900,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_1_1000,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_1_1100,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_1_1200,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_1_1300,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_1_1400,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_1_1500,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_1_1600,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_1_1700,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_1_1800,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_1_1900,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_1_2000,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_1_2100,Elmhurst,0,X6_NB
X5,DAILY,X5_NB_1_0500,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_1_0600,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_1_0700,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_1_0800,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_1_0900,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_1_1000,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_1_1100,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_1_1200,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_1_1300,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_1_1400,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_1_1500,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_1_1600,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_1_1700,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_1_1800,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_1_1900,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_1_2000,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_1_2100,O'Hare Transfer,0,X5_NB
X2,DAILY,X2_NB_2_0500,Palatine,0,X2_NB
X2,DAILY,X2_NB_2_0600,Palatine,0,X2_NB
X2,DAILY,X2_NB_2_0700,Palatine,0,X2_NB
X2,DAILY,X2_NB_2_0800,Palatine,0,X2_NB
X2,DAILY,X2_NB_2_0900,Palatine,0,X2_NB
X2,DAILY,X2_NB_2_1000,Palatine,0,X2_NB
X2,DAILY,X2_NB_2_1100,Palatine,0,X2_NB
X2,DAILY,X2_NB_2_1200,Palatine,0,X2_NB
X2,DAILY,X2_NB_2_1300,Palatine,0,X2_NB
X2,DAILY,X2_NB_2_1400,Palatine,0,X2_NB
X2,DAILY,X2_NB_2_1500,Palatine,0,X2_NB
X2,DAILY,X2_NB_2_1600,Palatine,0,X2_NB
X2,DAILY,X2_NB_2_1700,Palatine,0,X2_NB
X2,DAILY,X2_NB_2_1800,Palatine,0,X2_NB
X2,DAILY,X2_NB_2_1900,Palatine,0,X2_NB
X2,DAILY,X2_NB_2_2000,Palatine,0,X2_NB
X2,DAILY,X2_NB_2_2100,Palatine,0,X2_NB
X3,DAILY,X3_NB_2_0500,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_2_0600,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_2_0700,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_2_0800,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_2_0900,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_2_1000,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_2_1100,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_2_1200,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_2_1300,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_2_1400,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_2_1500,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_2_1600,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_2_1700,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_2_1800,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_2_1900,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_2_2000,Arlington Park,0,X3_NB
X3,DAILY,X3_NB_2_2100,Arlington Park,0,X3_NB
X1,DAILY,X1_NB_2_0500,Highland Park,0,X1_NB
X1,DAILY,X1_NB_2_0600,Highland Park,0,X1_NB
X1,DAILY,X1_NB_2_0700,Highland Park,0,X1_NB
X1,DAILY,X1_NB_2_0800,Highland Park,0,X1_NB
X1,DAILY,X1_NB_2_0900,Highland Park,0,X1_NB
X1,DAILY,X1_NB_2_1000,Highland Park,0,X1_NB
X1,DAILY,X1_NB_2_1100,Highland Park,0,X1_NB
X1,DAILY,X1_NB_2_1200,Highland Park,0,X1_NB
X1,DAILY,X1_NB_2_1300,Highland Park,0,X1_NB
X1,DAILY,X1_NB_2_1400,Highland Park,0,X1_NB
X1,DAILY,X1_NB_2_1500,Highland Park,0,X1_NB
X1,DAILY,X1_NB_2_1600,Highland Park,0,X1_NB
X1,DAILY,X1_NB_2_1700,Highland Park,0,X1_NB
X1,DAILY,X1_NB_2_1800,Highland Park,0,X1_NB
X1,DAILY,X1_NB_2_1900,Highland Park,0,X1_NB
X1,DAILY,X1_NB_2_2000,Highland Park,0,X1_NB
X1,DAILY,X1_NB_2_2100,Highland Park,0,X1_NB
X4,DAILY,X4_NB_2_0500,Winnetka,0,X4_NB
X4,DAILY,X4_NB_2_0600,Winnetka,0,X4_NB
X4,DAILY,X4_NB_2_0700,Winnetka,0,X4_NB
X4,DAILY,X4_NB_2_0800,Winnetka,0,X4_NB
X4,DAILY,X4_NB_2_0900,Winnetka,0,X4_NB
X4,DAILY,X4_NB_2_1000,Winnetka,0,X4_NB
X4,DAILY,X4_NB_2_1100,Winnetka,0,X4_NB
X4,DAILY,X4_NB_2_1200,Winnetka,0,X4_NB
X4,DAILY,X4_NB_2_1300,Winnetka,0,X4_NB
X4,DAILY,X4_NB_2_1400,Winnetka,0,X4_NB
X4,DAILY,X4_NB_2_1500,Winnetka,0,X4_NB
X4,DAILY,X4_NB_2_1600,Winnetka,0,X4_NB
X4,DAILY,X4_NB_2_1700,Winnetka,0,X4_NB
X4,DAILY,X4_NB_2_1800,Winnetka,0,X4_NB
X4,DAILY,X4_NB_2_1900,Winnetka,0,X4_NB
X4,DAILY,X4_NB_2_2000,Winnetka,0,X4_NB
X4,DAILY,X4_NB_2_2100,Winnetka,0,X4_NB
X6,DAILY,X6_NB_2_0500,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_2_0600,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_2_0700,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_2_0800,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_2_0900,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_2_1000,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_2_1100,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_2_1200,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_2_1300,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_2_1400,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_2_1500,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_2_1600,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_2_1700,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_2_1800,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_2_1900,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_2_2000,Elmhurst,0,X6_NB
X6,DAILY,X6_NB_2_2100,Elmhurst,0,X6_NB
X5,DAILY,X5_NB_2_0500,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_2_0600,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_2_0700,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_2_0800,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_2_0900,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_2_1000,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_2_1100,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_2_1200,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_2_1300,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_2_1400,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_2_1500,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_2_1600,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_2_1700,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_2_1800,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_2_1900,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_2_2000,O'Hare Transfer,0,X5_NB
X5,DAILY,X5_NB_2_2100,O'Hare Transfer,0,X5_NB
X3,DAILY,X3_SB_1_0500,Harvey,1,X3_SB
X3,DAILY,X3_SB_1_0600,Harvey,1,X3_SB
X3,DAILY,X3_SB_1_0700,Harvey,1,X3_SB
X3,DAILY,X3_SB_1_0800,Harvey,1,X3_SB
X3,DAILY,X3_SB_1_0900,Harvey,1,X3_SB
X3,DAILY,X3_SB_1_1000,Harvey,1,X3_SB
X3,DAILY,X3_SB_1_1100,Harvey,1,X3_SB
X3,DAILY,X3_SB_1_1200,Harvey,1,X3_SB
X3,DAILY,X3_SB_1_1300,Harvey,1,X3_SB
X3,DAILY,X3_SB_1_1400,Harvey,1,X3_SB
X3,DAILY,X3_SB_1_1500,Harvey,1,X3_SB
X3,DAILY,X3_SB_1_1600,Harvey,1,X3_SB
X3,DAILY,X3_SB_1_1700,Harvey,1,X3_SB
X3,DAILY,X3_SB_1_1800,Harvey,1,X3_SB
X3,DAILY,X3_SB_1_1900,Harvey,1,X3_SB
X3,DAILY,X3_SB_1_2000,Harvey,1,X3_SB
X3,DAILY,X3_SB_1_2100,Harvey,1,X3_SB
X2,DAILY,X2_SB_1_0500,93rd/South Chicago,1,X2_SB
X2,DAILY,X2_SB_1_0600,93rd/South Chicago,1,X2_SB
X2,DAILY,X2_SB_1_0700,93rd/South Chicago,1,X2_SB
X2,DAILY,X2_SB_1_0800,93rd/South Chicago,1,X2_SB
X2,DAILY,X2_SB_1_0900,93rd/South Chicago,1,X2_SB
X2,DAILY,X2_SB_1_1000,93rd/South Chicago,1,X2_SB
X2,DAILY,X2_SB_1_1100,93rd/South Chicago,1,X2_SB
X2,DAILY,X2_SB_1_1200,93rd/South Chicago,1,X2_SB
X2,DAILY,X2_SB_1_1300,93rd/South Chicago,1,X2_SB
