crosstownerstation-braeside	Braeside	42.152842	-87.772565
crosstownerstation-clybourn	Clybourn	41.917096	-87.668152
crosstownerstation-division-elston	Division/Elston	41.903426	-87.660335
crosstownerstation-chicago-halsted-bally-s	Chicago/Halsted (Bally's)	41.895754	-87.647364
crosstownerstation-18th-soldier-field	18th (Soldier Field)	41.858502	-87.618198
crosstownerstation-mccormick-place	McCormick Place	41.851534	-87.616310
crosstownerstation-27th-street	27th Street	41.844182	-87.613220
crosstownerstation-oakwood-blvd	Oakwood Blvd	41.824736	-87.602285
crosstownerstation-47th-kenwood	47th (Kenwood)	41.809740	-87.591333
crosstownerstation-51st-53rd-hyde-park	51st-53rd (Hyde Park)	41.800015	-87.586784
crosstownerstation-55th-56th-57th	55th-56th-57th	41.793360	-87.587643
crosstownerstation-59th-university-of-chicago	59th (University of Chicago)	41.788049	-87.588630
crosstownerstation-63rd-street	63rd Street	41.780241	-87.590475
crosstownerstation-67th	67th	41.773259	-87.592035
crosstownerstation-stony-island	Stony Island	41.766062	-87.586913
crosstownerstation-jeffery-blvd-bryn-mawr	Jeffery Blvd (Bryn Mawr)	41.766126	-87.575884
crosstownerstation-south-shore	South Shore	41.765102	-87.565627
crosstownerstation-75th-windsor-park	75th (Windsor Park)	41.758572	-87.559404
crosstownerstation-79th-cheltenham	79th (Cheltenham)	41.752233	-87.552538
crosstownerstation-83rd-street	83rd Street	41.745349	-87.551508
crosstownerstation-87th-street	87th Street	41.737792	-87.548332
crosstownerstation-93rd-south-chicago	93rd/South Chicago	41.726647	-87.547774
crosstownerstation-palatine	Palatine	42.113060	-88.048253
crosstownerstation-arlington-park	Arlington Park	42.095261	-88.009114
crosstownerstation-arlington-heights	Arlington Heights	42.084306	-87.983580
crosstownerstation-bensenville	Bensenville	41.956873	-87.941952
crosstownerstation-cumberland-circle	Cumberland Circle	42.052479	-87.912254
crosstownerstation-highland-park	Highland Park	42.183282	-87.797413
crosstownerstation-edison-park	Edison Park	42.002558	-87.818012
crosstownerstation-norwood-park	Norwood Park	41.991586	-87.798872
crosstownerstation-gladstone-park	Gladstone Park	41.979783	-87.778058
crosstownerstation-jefferson-park	Jefferson Park	41.971712	-87.763510
crosstownerstation-montrose-mayfair	Montrose (Mayfair)	41.960616	-87.744389
crosstownerstation-belmont-kedzie	Belmont/Kedzie	41.939571	-87.707253
crosstownerstation-western-logan	Western/Logan	41.928731	-87.687809
crosstownerstation-75th-grand-crossing	75th (Grand Crossing)	41.758828	-87.595324
crosstownerstation-79th-chatham	79th (Chatham)	41.750856	-87.597213
crosstownerstation-83rd-avalon-park	83rd (Avalon Park)	41.744260	-87.598715
crosstownerstation-87th-woodruff	87th (Woodruff)	41.737184	-87.600260
crosstownerstation-95th-chicago-state-university	95th - Chicago State University	41.721490	-87.603865
crosstownerstation-103rd-rosemoor	103rd (Rosemoor)	41.706914	-87.607169
crosstownerstation-111th-pullman	111th (Pullman)	41.692751	-87.610474
crosstownerstation-115th-kensington	115th (Kensington)	41.685957	-87.612190
crosstownerstation-119th-rlx	119th (RLX)	41.678921	-87.613698
crosstownerstation-130th-indiana	130th/Indiana	41.659414	-87.617934
crosstownerstation-138th-riverdale	138th (Riverdale)	41.646589	-87.623305
crosstownerstation-144th-ivanhoe	144th (Ivanhoe)	41.633343	-87.630300
crosstownerstation-147th-street	147th Street	41.622725	-87.636180
crosstownerstation-harvey	Harvey	41.609827	-87.643175
crosstownerstation-state-street	State Street	41.674418	-87.621932
crosstownerstation-stewart-ridge	Stewart Ridge	41.674482	-87.631674
crosstownerstation-irving-park	Irving Park	41.952533	-87.730122
crosstownerstation-west-pullman	West Pullman	41.674098	-87.642145
crosstownerstation-121st-racine	121st/Racine	41.674130	-87.651930
crosstownerstation-124th-ashland	124th/Ashland	41.669418	-87.660599
crosstownerstation-burr-oak	Burr Oak	41.662204	-87.669010
crosstownerstation-blue-island	Blue Island	41.655696	-87.676735
crosstownerstation-o-hare-transfer	O'Hare Transfer	41.994935	-87.880497
crosstownerstation-rosemont-balmoral-ave	Rosemont - Balmoral Ave	41.976019	-87.873759
crosstownerstation-lawrence-ruby	Lawrence/Ruby	41.965808	-87.870820
crosstownerstation-schiller-park	Schiller Park	41.962234	-87.870369
crosstownerstation-schiller-park-irving-park-rd	Schiller Park - Irving Park Rd	41.954224	-87.865906
crosstownerstation-franklin-park-belmont-ave	Franklin Park - Belmont Ave	41.937690	-87.860026
crosstownerstation-des-plaines-river-rd	Des Plaines River Rd	41.933407	-87.849650
crosstownerstation-river-grove	River Grove	41.930986	-87.836080
crosstownerstation-elmwood-park-conti-circle	Elmwood Park - Conti Circle	41.926453	-87.820065
crosstownerstation-elmwood-park	Elmwood Park	41.924760	-87.814794
crosstownerstation-grand-harlem	Grand/Harlem	41.923579	-87.807705
crosstownerstation-mont-clare	Mont Clare	41.921662	-87.801704
crosstownerstation-narragansett-ave-galewood	Narragansett Ave (Galewood)	41.916394	-87.785869
crosstownerstation-central-ave-hanson-park	Central Ave (Hanson Park)	41.916585	-87.766986
crosstownerstation-wood-dale	Wood Dale	41.963128	-87.977142
crosstownerstation-north-ridgeway	North/Ridgeway	41.909009	-87.719629
crosstownerstation-humboldt-park	Humboldt Park	41.898022	-87.708429
crosstownerstation-halsted-18th	Halsted/18th	41.860420	-87.647038
crosstownerstation-western-kinzie	Western/Kinzie	41.888988	-87.688150
crosstownerstation-western-18th	Western/18th	41.857608	-87.685747
crosstownerstation-cicero	Cicero	41.844118	-87.745571
crosstownerstation-berwyn-ridgeland-ave-lavergne	Berwyn - Ridgeland Ave (LaVergne)	41.835485	-87.783380
crosstownerstation-berwyn-oak-park-ave	Berwyn - Oak Park Ave	41.833087	-87.793679
crosstownerstation-berwyn-harlem-ave	Berwyn - Harlem Ave	41.831328	-87.801919
crosstownerstation-riverside	Riverside	41.827139	-87.820072
crosstownerstation-hollywood	Hollywood	41.824453	-87.833805
crosstownerstation-brookfield	Brookfield	41.821990	-87.843118
crosstownerstation-congress-park	Congress Park	41.819016	-87.857623
crosstownerstation-lagrange-road	LaGrange Road	41.815786	-87.870970
crosstownerstation-lagrange-stone-ave	LaGrange - Stone Ave	41.814186	-87.878351
crosstownerstation-western-springs	Western Springs	41.808940	-87.901182
crosstownerstation-highlands	Highlands	41.805038	-87.918348
crosstownerstation-hinsdale	Hinsdale	41.802798	-87.928348
crosstownerstation-west-hinsdale	West Hinsdale	41.799088	-87.945385
crosstownerstation-clarendon-hills	Clarendon Hills	41.797072	-87.953539
crosstownerstation-westmont	Westmont	41.795440	-87.976413
crosstownerstation-downers-grove-fairview-avenue	Downers Grove - Fairview Avenue	41.795344	-87.993579
