trip_id,arrival_time,departure_time,stop_id,stop_sequence
RLE_NB_0420,07:00:00,07:00:00,rle-130th,1
RLE_NB_0420,07:03:00,07:03:00,rle-michigan,2
RLE_NB_0420,07:05:00,07:05:00,rle-111th,3
RLE_NB_0420,07:07:00,07:07:00,rle-103rd,4
RLE_NB_0420,07:10:00,07:10:00,rle-95th-dan-ryan,5
RLE_NB_0430,07:10:00,07:10:00,rle-130th,1
RLE_NB_0430,07:13:00,07:13:00,rle-michigan,2
RLE_NB_0430,07:15:00,07:15:00,rle-111th,3
RLE_NB_0430,07:17:00,07:17:00,rle-103rd,4
RLE_NB_0430,07:20:00,07:20:00,rle-95th-dan-ryan,5
RLE_NB_0440,07:20:00,07:20:00,rle-130th,1
RLE_NB_0440,07:23:00,07:23:00,rle-michigan,2
RLE_NB_0440,07:25:00,07:25:00,rle-111th,3
RLE_NB_0440,07:27:00,07:27:00,rle-103rd,4
RLE_NB_0440,07:30:00,07:30:00,rle-95th-dan-ryan,5
RLE_NB_0450,07:30:00,07:30:00,rle-130th,1
RLE_NB_0450,07:33:00,07:33:00,rle-michigan,2
RLE_NB_0450,07:35:00,07:35:00,rle-111th,3
RLE_NB_0450,07:37:00,07:37:00,rle-103rd,4
RLE_NB_0450,07:40:00,07:40:00,rle-95th-dan-ryan,5
RLE_NB_0460,07:40:00,07:40:00,rle-130th,1
RLE_NB_0460,07:43:00,07:43:00,rle-michigan,2
RLE_NB_0460,07:45:00,07:45:00,rle-111th,3
RLE_NB_0460,07:47:00,07:47:00,rle-103rd,4
RLE_NB_0460,07:50:00,07:50:00,rle-95th-dan-ryan,5
RLE_NB_0470,07:50:00,07:50:00,rle-130th,1
RLE_NB_0470,07:53:00,07:53:00,rle-michigan,2
RLE_NB_0470,07:55:00,07:55:00,rle-111th,3
RLE_NB_0470,07:57:00,07:57:00,rle-103rd,4
RLE_NB_0470,08:00:00,08:00:00,rle-95th-dan-ryan,5
RLE_NB_0480,08:00:00,08:00:00,rle-130th,1
RLE_NB_0480,08:03:00,08:03:00,rle-michigan,2
RLE_NB_0480,08:05:00,08:05:00,rle-111th,3
RLE_NB_0480,08:07:00,08:07:00,rle-103rd,4
RLE_NB_0480,08:10:00,08:10:00,rle-95th-dan-ryan,5
RLE_NB_0490,08:10:00,08:10:00,rle-130th,1
RLE_NB_0490,08:13:00,08:13:00,rle-michigan,2
RLE_NB_0490,08:15:00,08:15:00,rle-111th,3
RLE_NB_0490,08:17:00,08:17:00,rle-103rd,4
RLE_NB_0490,08:20:00,08:20:00,rle-95th-dan-ryan,5
RLE_NB_0500,08:20:00,08:20:00,rle-130th,1
RLE_NB_0500,08:23:00,08:23:00,rle-michigan,2
RLE_NB_0500,08:25:00,08:25:00,rle-111th,3
RLE_NB_0500,08:27:00,08:27:00,rle-103rd,4
RLE_NB_0500,08:30:00,08:30:00,rle-95th-dan-ryan,5
RLE_NB_0510,08:30:00,08:30:00,rle-130th,1
RLE_NB_0510,08:33:00,08:33:00,rle-michigan,2
RLE_NB_0510,08:35:00,08:35:00,rle-111th,3
RLE_NB_0510,08:37:00,08:37:00,rle-103rd,4
RLE_NB_0510,08:40:00,08:40:00,rle-95th-dan-ryan,5
RLE_NB_0520,08:40:00,08:40:00,rle-130th,1
RLE_NB_0520,08:43:00,08:43:00,rle-michigan,2
RLE_NB_0520,08:45:00,08:45:00,rle-111th,3
RLE_NB_0520,08:47:00,08:47:00,rle-103rd,4
RLE_NB_0520,08:50:00,08:50:00,rle-95th-dan-ryan,5
RLE_NB_0530,08:50:00,08:50:00,rle-130th,1
RLE_NB_0530,08:53:00,08:53:00,rle-michigan,2
RLE_NB_0530,08:55:00,08:55:00,rle-111th,3
RLE_NB_0530,08:57:00,08:57:00,rle-103rd,4
RLE_NB_0530,09:00:00,09:00:00,rle-95th-dan-ryan,5
