to_id,from_id,min_today,min_future,saved,from_name,to_name,from_geo,to_geo
crosstownerstation-103rd-rosemoor,crosstownerstation-111th-pullman,15,11,4,111th (Pullman),103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-119th-rlx,36,25,11,119th (RLX),103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-119th-street,45,43,2,119th,103rd (Rosemoor),south suburban,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-123rd-street,52,49,3,123rd,103rd (Rosemoor),south suburban,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-130th-indiana,35,26,9,130th/Indiana,103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-18th-soldier-field,43,37,6,18th (Soldier Field),103rd (Rosemoor),downtown Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-27th-street,41,34,7,27th,103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-35th-street-lou-jones,42,42,0,"35th (""""Lou"""" Jones)",103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-47th-kenwood,37,28,9,47th (Kenwood),103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-51st-53rd-hyde-park,26,25,1,51st/53rd,103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-55th-56th-57th,24,23,1,55th-56th-57th,103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-59th-perry,45,44,1,59th/Perry,103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-59th-university-of-chicago,22,21,1,59th (University of Chicago),103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-63rd-street,21,20,1,63rd,103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-67th,37,24,13,67th,103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-75th-grand-crossing,29,19,10,75th (Grand Crossing),103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-79th-auburn-park,40,40,0,79th (Auburn Park),103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-79th-chatham,20,16,4,79th (Chatham),103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-79th-cheltenham,44,37,7,79th (Cheltenham),103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-83rd-avalon-park,26,17,9,83rd (Avalon Park),103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-83rd-street,46,43,3,83rd,103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-87th-street,44,38,6,87th,103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-87th-woodruff,18,12,6,87th (Woodruff),103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-91st-street-60,19,14,5,91st (Chesterfield),103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-93rd-south-chicago,38,38,0,93rd/South Chicago,103rd (Rosemoor),south side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-addison-lincoln,76,64,12,Addison/Lincoln,103rd (Rosemoor),north side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-arlington-heights,139,93,46,Arlington Heights,103rd (Rosemoor),north suburban,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-arlington-park,143,96,47,Arlington Park,103rd (Rosemoor),north suburban,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-ashland-ogden,73,61,12,Ashland-Ogden,103rd (Rosemoor),west side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-bellwood,101,91,10,Bellwood,103rd (Rosemoor),west suburban,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-belmont-kedzie,80,65,15,Belmont/Kedzie,103rd (Rosemoor),north side of Chicago,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-berkeley,154,94,60,Berkeley,103rd (Rosemoor),west suburban,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-berwyn-harlem-ave,102,76,26,Berwyn - Harlem Ave,103rd (Rosemoor),west suburban,south side of Chicago
crosstownerstation-103rd-rosemoor,crosstownerstation-berwyn-oak-park-ave,99,74,25,Berwyn - Oak Park Ave,103rd (Rosemoor),west suburban,south side of Chicago
