option,departure_time,total_duration,segment,mode,route,segment_duration,wait
1,08:02:02,145.1,1,WALK,"",14.8,0
1,08:02:02,145.1,2,BUS,313,28,2.2
1,08:02:02,145.1,3,WALK,"",5.3,0
1,08:02:02,145.1,4,RAIL,UP-W,18,1.7
1,08:02:02,145.1,5,WALK,"",10.7,0
1,08:02:02,145.1,6,BUS,8,48.7,9.1
1,08:02:02,145.1,7,WALK,"",6.8,0
2,08:02:02,145.1,1,WALK,"",14.8,0
2,08:02:02,145.1,2,BUS,313,27,2.2
2,08:02:02,145.1,3,WALK,"",6.3,0
2,08:02:02,145.1,4,SUBWAY,G,62.5,12
2,08:02:02,145.1,5,WALK,"",3,0
2,08:02:02,145.1,6,BUS,8,9.4,1.2
2,08:02:02,145.1,7,WALK,"",6.8,0
3,08:09:44,175.2,1,WALK,"",14.8,0
3,08:09:44,175.2,2,BUS,313,27,28.5
3,08:09:44,175.2,3,WALK,"",6.3,0
3,08:09:44,175.2,4,SUBWAY,G,46,4
3,08:09:44,175.2,5,WALK,"",2.9,0
3,08:09:44,175.2,6,BUS,29,23.7,2.6
3,08:09:44,175.2,7,WALK,"",19.6,0
