option,departure_time,total_duration,segment,mode,route,segment_duration,wait
1,10:09:44,154.1,1,WALK,"",13.1,0
1,10:09:44,154.1,2,BUS,J14,30,3.1
1,10:09:44,154.1,3,WALK,"",1,0
1,10:09:44,154.1,4,RAIL,UP-N,48,35.1
1,10:09:44,154.1,5,WALK,"",23.9,0
2,10:09:11,131.4,1,WALK,"",2.5,0
2,10:09:11,131.4,2,BUS,26,19.6,1.4
2,10:09:11,131.4,3,WALK,"",5.5,0
2,10:09:11,131.4,4,SUBWAY,Red,40.5,1.5
2,10:09:11,131.4,5,WALK,"",3.4,0
2,10:09:11,131.4,6,BUS,213,48,1.6
2,10:09:11,131.4,7,WALK,"",7.5,0
3,10:00:55,139.7,1,WALK,"",13.1,0
3,10:00:55,139.7,2,BUS,J14,16.6,2
3,10:00:55,139.7,3,WALK,"",5.5,0
3,10:00:55,139.7,4,SUBWAY,Red,40.5,1.6
3,10:00:55,139.7,5,WALK,"",3.4,0
3,10:00:55,139.7,6,BUS,213,48,1.6
3,10:00:55,139.7,7,WALK,"",7.5,0
