option,departure_time,total_duration,segment,mode,route,segment_duration,wait
1,08:09:44,72.3,1,WALK,"",2.2,0
1,08:09:44,72.3,2,SUBWAY,P,41.5,2.1
1,08:09:44,72.3,3,WALK,"",1,0
1,08:09:44,72.3,4,BUS,2,20.2,1.6
1,08:09:44,72.3,5,WALK,"",3.8,0
2,08:02:02,71.1,1,WALK,"",1.4,0
2,08:02:02,71.1,2,RAIL,UP-N,30,1.6
2,08:02:02,71.1,3,WALK,"",2.6,0
2,08:02:02,71.1,4,BUS,60,9.3,3.6
2,08:02:02,71.1,5,WALK,"",1.2,0
2,08:02:02,71.1,6,RAIL,ME,18,3.5
2,08:02:02,71.1,7,WALK,"",0.1,0
3,08:02:02,71.2,1,WALK,"",1.4,0
3,08:02:02,71.2,2,RAIL,UP-N,30,1.6
3,08:02:02,71.2,3,WALK,"",2.6,0
3,08:02:02,71.2,4,BUS,J14,9.9,2.1
3,08:02:02,71.2,5,WALK,"",4.6,0
3,08:02:02,71.2,6,RAIL,ME,16,3
3,08:02:02,71.2,7,WALK,"",0.1,0
