GEOID,pop,scenario,today
170310101001,566,74,76
170310101002,2456,67,71
170310101003,1883,70,74
170310102011,1831,74,74
170310102012,1129,69,73
170310102013,2084,69,78
170310102014,1895,66,75
170310102021,1287,66,69
170310102022,1455,71,74
170310103001,1187,77,78
170310103002,2148,70,74
170310103003,1550,80,80
170310103004,1420,74,75
170310104001,1396,80,81
170310104002,784,76,79
170310104003,2899,76,76
170310105011,916,73,77
170310105012,1821,76,79
170310105013,1469,75,77
170310105021,1570,78,78
170310105022,1708,78,80
170310105031,1835,77,77
170310105032,730,75,75
170310106001,1976,73,79
170310106002,874,71,79
170310106003,1902,80,80
170310106004,1473,67,76
170310107011,1519,65,77
170310107012,2154,65,76
170310107021,1712,64,75
170310107022,934,64,75
170310107023,1335,65,78
170310107024,795,66,76
170310201001,2511,72,72
170310201002,1691,76,80
170310202001,1912,65,65
170310202002,1366,74,74
170310202003,1780,70,70
170310202004,2070,74,74
170310203011,1762,65,65
170310203012,1504,73,73
170310203013,1995,65,65
170310203021,1410,65,65
170310203022,1192,67,67
170310203023,2408,68,68
170310204001,807,72,72
170310204002,1505,70,74
170310204003,2123,74,75
170310205001,2664,74,77
170310205002,1260,72,72
170310205003,1703,77,79
170310205004,972,74,74
170310206011,1862,67,67
170310206012,3204,65,65
170310206013,1633,63,63
170310206021,1200,71,71
170310206022,1211,70,70
170310206023,1261,69,69
170310206024,990,71,71
170310207011,971,63,63
170310207012,908,60,60
170310207021,2087,63,63
170310207022,2818,64,64
170310207023,1827,63,63
170310207024,985,62,62
170310208011,1586,64,64
170310208012,1201,62,62
170310208013,1268,62,62
170310208014,1593,64,64
170310208021,1161,64,64
170310208022,2071,63,63
170310208023,2682,64,64
170310208024,1632,68,68
170310209011,2355,71,71
170310209012,935,66,74
170310209013,2558,67,67
170310209021,2391,63,72
170310209022,2097,63,67
170310301011,869,74,74
170310301012,544,76,76
170310301013,1005,75,75
170310301014,1269,76,76
170310301021,995,77,77
170310301022,1090,76,76
170310301023,1036,77,77
170310301031,935,75,75
170310301032,1169,77,77
170310301041,2906,79,79
170310301042,615,78,78
170310302001,1861,78,78
170310302002,1420,74,76
170310302003,1060,66,76
170310302004,1286,74,78
170310303001,1620,66,76
170310303002,1528,63,71
170310304001,1443,63,71
170310304002,1154,69,73
170310305001,1236,74,75
170310305002,1736,65,71
170310305003,1645,72,73
170310305004,1566,71,73
170310306011,1171,75,75
170310306012,797,74,74
170310306013,1325,75,75
170310306031,957,71,71
170310306032,1088,74,74
170310306041,1242,73,73
170310306042,1618,76,76
170310306043,877,75,75
170310307011,1671,72,72
170310307021,988,69,69
170310307022,1330,71,71
170310307031,803,66,66
170310307032,451,67,67
170310307033,1821,69,69
170310307061,1635,67,67
170310307062,1298,71,71
170310308001,946,70,70
170310308002,1179,67,67
170310308003,1029,64,64
170310308004,1130,61,61
170310309001,532,67,67
170310309002,855,64,64
170310309003,902,62,62
170310309004,663,59,59
170310310001,963,60,60
170310310002,1210,63,63
170310310003,1695,62,63
170310311001,2178,66,66
170310311002,917,68,68
170310311003,1596,63,63
170310312001,1305,67,67
170310312002,1494,68,68
170310312003,1203,67,67
170310312004,1539,68,68
170310313001,1090,71,71
170310313002,1318,71,71
170310313003,449,67,67
170310313004,2266,69,69
170310313005,1596,68,68
170310314001,1299,73,73
170310314002,649,69,69
170310314003,1106,69,69
170310314004,1115,67,67
170310314005,1052,71,71
170310315011,948,69,69
170310315012,1988,69,69
170310315013,1219,73,73
170310315021,1820,69,69
170310315022,970,72,72
170310315023,1922,72,72
170310317001,1834,64,64
170310317002,1566,64,64
170310317003,1641,64,64
170310317004,1253,64,64
170310318001,1910,62,63
170310319001,1305,62,63
170310319002,1217,61,61
170310321001,1863,69,69
170310321002,1250,67,67
170310321003,1846,63,63
170310321004,1479,69,69
170310321005,1105,64,64
170310401001,1350,60,60
170310401002,1484,56,56
170310401003,1071,57,57
170310402011,1384,57,57
170310402012,1812,53,53
170310402013,1498,55,55
170310402014,1714,57,57
170310402021,883,58,58
170310402022,2786,54,54
170310402023,1382,56,56
170310402024,2267,60,60
170310403001,1018,55,55
170310403002,1141,50,50
170310403003,769,55,55
170310404011,810,57,57
170310404012,725,58,58
170310404013,603,56,56
170310404014,991,59,59
170310404021,724,58,58
170310404022,612,58,58
170310404023,1284,60,60
170310404024,619,59,59
170310404025,1507,60,61
170310406001,613,60,60
170310406002,1019,60,60
170310406003,898,58,58
170310407001,836,57,57
170310407002,846,56,56
170310407003,964,56,56
170310407004,780,54,54
170310408001,837,54,54
170310408002,799,54,54
170310409001,1334,58,58
170310409002,729,56,56
170310501001,842,60,60
170310501002,1726,57,57
170310502001,1131,56,56
170310502002,2275,59,59
170310502003,1903,53,53
170310503001,1014,56,56
170310503002,831,52,52
170310503003,826,53,53
170310505001,1041,53,53
170310505002,1502,54,54
170310505003,816,55,55
170310505004,983,54,54
170310505005,775,53,53
170310506001,1285,56,56
170310506002,1158,55,56
170310507001,1513,55,55
170310508001,1406,54,54
170310509001,1426,52,52
170310510001,1538,50,50
170310511001,1599,51,51
170310512001,718,55,55
170310512002,863,52,52
170310513001,1329,53,53
170310513002,1578,51,51
170310514001,1266,51,51
170310514002,1226,51,52
170310601001,803,63,63
170310601002,1303,60,60
170310601003,724,62,62
170310602001,1180,62,62
170310602002,1133,58,58
170310603001,1640,58,58
170310603002,1436,56,57
170310604001,1652,61,61
170310604002,969,59,59
170310604003,1088,60,60
170310605001,1374,62,62
170310608001,1651,67,67
170310608003,1602,67,67
170310608004,2042,67,67
170310609001,1188,64,64
170310609002,30,65,65
170310609003,1299,68,68
170310609004,796,65,65
170310609005,1711,65,65
170310609006,2080,65,65
170310610001,2279,63,63
170310611001,1367,63,63
170310612001,1932,60,60
170310615001,1797,60,60
170310618001,1051,63,63
170310619011,788,67,67
170310619012,886,67,67
170310619013,866,64,64
170310619014,1085,63,63
170310619021,1233,64,64
170310619022,1836,65,65
170310619023,1596,67,67
170310620001,1931,64,64
170310620002,912,66,66
170310621001,873,64,64
170310621002,1164,65,65
170310621003,1780,60,60
170310622001,1696,61,61
170310622002,1548,60,60
170310623001,1667,57,57
170310624001,1673,56,56
170310625001,1675,54,54
170310626001,2477,55,55
170310627001,909,57,57
170310627002,876,54,54
170310627003,1170,57,57
170310628001,1178,59,59
170310628002,1218,55,55
170310628003,1455,59,59
170310629001,1313,60,60
170310629002,1261,57,57
170310629003,1551,60,60
170310630001,1340,62,62
170310630002,1349,59,59
170310630003,728,62,62
170310631001,1320,64,64
170310631002,1056,61,61
170310632001,1161,64,64
170310632002,639,64,64
170310632003,1125,64,64
170310632004,1515,63,63
170310632005,853,64,64
170310632006,1607,65,65
170310633011,1048,62,62
170310633012,865,65,65
170310633013,920,62,62
170310633021,1656,64,64
170310633022,927,64,64
170310633023,822,64,64
170310633024,1172,65,65
170310633031,454,65,65
170310633032,820,65,65
170310634001,1340,62,62
170310634002,1077,64,64
170310701011,1218,66,66
170310701012,1256,68,68
170310701013,1697,65,65
170310701021,1565,66,66
170310701022,673,62,62
170310701023,825,64,64
170310701031,886,66,66
170310701032,959,67,67
170310702001,1957,62,62
170310702002,1202,63,63
170310702003,1041,66,66
170310703001,2376,61,61
170310703002,1973,62,62
170310704001,1253,59,59
170310704002,944,58,58
170310704003,1053,60,60
170310705001,1089,58,58
170310705002,1080,57,57
170310705003,1153,57,57
170310706001,1919,55,55
170310706002,1530,56,56
170310707001,2523,54,54
170310707002,1176,54,54
170310710001,2370,59,59
170310710002,1987,61,62
170310711001,1693,63,64
170310711002,1398,63,63
170310712001,1815,62,62
170310712002,1158,65,66
170310713001,1847,67,68
170310713002,2046,65,66
170310714001,871,67,67
170310714002,1859,66,67
170310714003,1570,69,69
170310714004,662,69,69
170310715001,1257,65,65
170310715002,1307,66,67
170310715003,1338,67,68
170310715004,1083,65,65
170310715005,674,64,64
170310715006,623,67,68
170310716001,1793,65,66
170310717001,783,65,66
170310717002,877,61,61
170310718001,2082,62,62
170310718002,570,61,61
170310801001,510,64,64
170310801002,1164,66,66
170310801003,1034,69,69
170310801004,811,68,68
170310801005,1347,69,69
170310801006,902,66,66
170310801007,620,67,67
170310802011,1354,64,64
170310802012,1443,64,64
170310802013,578,67,67
170310802021,1101,61,61
170310802022,1348,63,63
170310802023,1776,64,64
170310803001,902,63,63
170310803002,2170,59,59
