GEOID,w,today,scenario,status,saved,redpct
010030108003,2,,,no_transit_either,,
010030112023,1,,,no_transit_either,,
010030114111,1,,,no_transit_either,,
010030114142,1,,,no_transit_either,,
010030114151,1,,,no_transit_either,,
010259580031,1,,,no_transit_either,,
010539698011,1,,,no_transit_either,,
010730011001,1,,,no_transit_either,,
010970013021,1,,,no_transit_either,,
010970019012,1,,,no_transit_either,,
010970020002,1,,,no_transit_either,,
010970029002,1,,,no_transit_either,,
010970032061,1,,,no_transit_either,,
010970036061,1,,,no_transit_either,,
010970039021,1,,,no_transit_either,,
010970066004,1,,,no_transit_either,,
010970068022,1,,,no_transit_either,,
040130101041,1,,,no_transit_either,,
040130405142,1,,,no_transit_either,,
040130506122,1,,,no_transit_either,,
040130506214,1,,,no_transit_either,,
040130609012,1,,,no_transit_either,,
040130610132,1,,,no_transit_either,,
040130610263,1,,,no_transit_either,,
040130610361,1,,,no_transit_either,,
040130610403,1,,,no_transit_either,,
040130610492,1,,,no_transit_either,,
040130610543,1,,,no_transit_either,,
040130610561,1,,,no_transit_either,,
040130610641,1,,,no_transit_either,,
040130715102,1,,,no_transit_either,,
040130715103,1,,,no_transit_either,,
040130717011,1,,,no_transit_either,,
040130719152,1,,,no_transit_either,,
040130820251,1,,,no_transit_either,,
040130822114,1,,,no_transit_either,,
040130924012,1,,,no_transit_either,,
040130927163,1,,,no_transit_either,,
040130930012,1,,,no_transit_either,,
040130931053,1,,,no_transit_either,,
040130931061,1,,,no_transit_either,,
040131032071,1,,,no_transit_either,,
040131032162,1,,,no_transit_either,,
040131032173,1,,,no_transit_either,,
040131032203,1,,,no_transit_either,,
040131033041,1,,,no_transit_either,,
040131036052,1,,,no_transit_either,,
040131036082,1,,,no_transit_either,,
040131036151,1,,,no_transit_either,,
040131042032,1,,,no_transit_either,,
040131042122,1,,,no_transit_either,,
040131042172,1,,,no_transit_either,,
040131042262,2,,,no_transit_either,,
040131050022,1,,,no_transit_either,,
040131051024,1,,,no_transit_either,,
040131057021,1,,,no_transit_either,,
040131064001,1,,,no_transit_either,,
040132168061,1,,,no_transit_either,,
040132168202,1,,,no_transit_either,,
040132168223,1,,,no_transit_either,,
040132168311,1,,,no_transit_either,,
040132168373,1,,,no_transit_either,,
040132168393,1,,,no_transit_either,,
040132168412,1,,,no_transit_either,,
040132170016,1,,,no_transit_either,,
040132170021,1,,,no_transit_either,,
040132172033,1,,,no_transit_either,,
040132175023,1,,,no_transit_either,,
040132177001,1,,,no_transit_either,,
040132177002,1,,,no_transit_either,,
040132179003,1,,,no_transit_either,,
040132180004,2,,,no_transit_either,,
040133189001,1,,,no_transit_either,,
040133193001,1,,,no_transit_either,,
040133194021,1,,,no_transit_either,,
