h_geocode,jobs,cty,ctyname,trct,zcta,zctaname,stplc,stplcname,blklatdd,blklondd
010030108003010,1,,[out of state 01],,,,,[out of state 01],,
010030108003013,1,,[out of state 01],,,,,[out of state 01],,
010030112023042,1,,[out of state 01],,,,,[out of state 01],,
010030114111003,1,,[out of state 01],,,,,[out of state 01],,
010030114142032,1,,[out of state 01],,,,,[out of state 01],,
010030114151013,1,,[out of state 01],,,,,[out of state 01],,
010259580031035,1,,[out of state 01],,,,,[out of state 01],,
010359605002017,1,,[out of state 01],,,,,[out of state 01],,
010539698011085,1,,[out of state 01],,,,,[out of state 01],,
010730011001000,1,,[out of state 01],,,,,[out of state 01],,
010970013021020,1,,[out of state 01],,,,,[out of state 01],,
010970019012007,1,,[out of state 01],,,,,[out of state 01],,
010970020002007,1,,[out of state 01],,,,,[out of state 01],,
010970029002019,1,,[out of state 01],,,,,[out of state 01],,
010970032061031,1,,[out of state 01],,,,,[out of state 01],,
010970036061006,1,,[out of state 01],,,,,[out of state 01],,
010970039021012,1,,[out of state 01],,,,,[out of state 01],,
010970066004025,1,,[out of state 01],,,,,[out of state 01],,
010970068022003,1,,[out of state 01],,,,,[out of state 01],,
040130101041008,1,,[out of state 04],,,,,[out of state 04],,
040130405142006,1,,[out of state 04],,,,,[out of state 04],,
040130506122064,1,,[out of state 04],,,,,[out of state 04],,
040130506214146,1,,[out of state 04],,,,,[out of state 04],,
040130609012011,1,,[out of state 04],,,,,[out of state 04],,
040130610132009,1,,[out of state 04],,,,,[out of state 04],,
040130610263016,1,,[out of state 04],,,,,[out of state 04],,
040130610361012,1,,[out of state 04],,,,,[out of state 04],,
040130610403011,1,,[out of state 04],,,,,[out of state 04],,
040130610492021,1,,[out of state 04],,,,,[out of state 04],,
040130610543004,1,,[out of state 04],,,,,[out of state 04],,
040130610561035,1,,[out of state 04],,,,,[out of state 04],,
040130610641004,1,,[out of state 04],,,,,[out of state 04],,
040130715102004,1,,[out of state 04],,,,,[out of state 04],,
040130715103010,1,,[out of state 04],,,,,[out of state 04],,
040130717011009,1,,[out of state 04],,,,,[out of state 04],,
040130719152006,1,,[out of state 04],,,,,[out of state 04],,
040130820251006,1,,[out of state 04],,,,,[out of state 04],,
040130822114004,1,,[out of state 04],,,,,[out of state 04],,
040130924012011,1,,[out of state 04],,,,,[out of state 04],,
040130927163003,1,,[out of state 04],,,,,[out of state 04],,
040130930012003,1,,[out of state 04],,,,,[out of state 04],,
040130931053000,1,,[out of state 04],,,,,[out of state 04],,
040130931061019,1,,[out of state 04],,,,,[out of state 04],,
040131032071008,1,,[out of state 04],,,,,[out of state 04],,
040131032162004,1,,[out of state 04],,,,,[out of state 04],,
040131032173022,1,,[out of state 04],,,,,[out of state 04],,
040131032203001,1,,[out of state 04],,,,,[out of state 04],,
040131033041005,1,,[out of state 04],,,,,[out of state 04],,
040131036052018,1,,[out of state 04],,,,,[out of state 04],,
040131036082004,1,,[out of state 04],,,,,[out of state 04],,
040131036151012,1,,[out of state 04],,,,,[out of state 04],,
040131042032003,1,,[out of state 04],,,,,[out of state 04],,
040131042122005,1,,[out of state 04],,,,,[out of state 04],,
040131042172026,1,,[out of state 04],,,,,[out of state 04],,
040131042262000,1,,[out of state 04],,,,,[out of state 04],,
040131042262002,1,,[out of state 04],,,,,[out of state 04],,
040131050022006,1,,[out of state 04],,,,,[out of state 04],,
040131051024000,1,,[out of state 04],,,,,[out of state 04],,
040131057021016,1,,[out of state 04],,,,,[out of state 04],,
040131064001000,1,,[out of state 04],,,,,[out of state 04],,
040132168061011,1,,[out of state 04],,,,,[out of state 04],,
040132168202014,1,,[out of state 04],,,,,[out of state 04],,
040132168223024,1,,[out of state 04],,,,,[out of state 04],,
040132168311018,1,,[out of state 04],,,,,[out of state 04],,
040132168373004,1,,[out of state 04],,,,,[out of state 04],,
040132168393012,1,,[out of state 04],,,,,[out of state 04],,
040132168412011,1,,[out of state 04],,,,,[out of state 04],,
040132170016000,1,,[out of state 04],,,,,[out of state 04],,
040132170021007,1,,[out of state 04],,,,,[out of state 04],,
040132172033004,1,,[out of state 04],,,,,[out of state 04],,
040132175023005,1,,[out of state 04],,,,,[out of state 04],,
040132177001001,1,,[out of state 04],,,,,[out of state 04],,
040132177002017,1,,[out of state 04],,,,,[out of state 04],,
040132179003007,1,,[out of state 04],,,,,[out of state 04],,
040132180004000,1,,[out of state 04],,,,,[out of state 04],,
040132180004011,1,,[out of state 04],,,,,[out of state 04],,
040133189001018,1,,[out of state 04],,,,,[out of state 04],,
040133193001011,1,,[out of state 04],,,,,[out of state 04],,
040133194021015,1,,[out of state 04],,,,,[out of state 04],,
040133196003006,1,,[out of state 04],,,,,[out of state 04],,
040134201051004,1,,[out of state 04],,,,,[out of state 04],,
040134203021004,1,,[out of state 04],,,,,[out of state 04],,
040134213031002,1,,[out of state 04],,,,,[out of state 04],,
040134214002007,1,,[out of state 04],,,,,[out of state 04],,
040134220011010,1,,[out of state 04],,,,,[out of state 04],,
040134221031006,1,,[out of state 04],,,,,[out of state 04],,
040134222033000,1,,[out of state 04],,,,,[out of state 04],,
040134223053010,1,,[out of state 04],,,,,[out of state 04],,
040134224022011,1,,[out of state 04],,,,,[out of state 04],,
040134225011010,1,,[out of state 04],,,,,[out of state 04],,
040134226091012,1,,[out of state 04],,,,,[out of state 04],,
040134226092006,1,,[out of state 04],,,,,[out of state 04],,
040134226231011,1,,[out of state 04],,,,,[out of state 04],,
