option,departure_time,total_duration,segment,mode,route,segment_duration,wait
1,08:07:20,121.1,1,WALK,"",13.3,0
1,08:07:20,121.1,2,RAIL,ME,26,1.4
1,08:07:20,121.1,3,WALK,"",9.2,0
1,08:07:20,121.1,4,SUBWAY,Blue,40,7.7
1,08:07:20,121.1,5,WALK,"",3.2,0
1,08:07:20,121.1,6,BUS,811,9,2.5
1,08:07:20,121.1,7,WALK,"",9,0
2,08:09:44,131.3,1,WALK,"",1.7,0
2,08:09:44,131.3,2,RAIL,ME,42,12.6
2,08:09:44,131.3,3,WALK,"",9.2,0
2,08:09:44,131.3,4,SUBWAY,Blue,40,4.7
2,08:09:44,131.3,5,WALK,"",3.2,0
2,08:09:44,131.3,6,BUS,303,3,2.5
2,08:09:44,131.3,7,WALK,"",12.6,0
