option,departure_time,total_duration,segment,mode,route,segment_duration,wait
1,08:09:44,88.4,1,WALK,"",1.1,0
1,08:09:44,88.4,2,BUS,34,8.9,3.3
1,08:09:44,88.4,3,WALK,"",2.8,0
1,08:09:44,88.4,4,SUBWAY,Red,25.5,3.3
1,08:09:44,88.4,5,WALK,"",2,0
1,08:09:44,88.4,6,SUBWAY,Blue,39,1.6
1,08:09:44,88.4,7,WALK,"",1,0
2,08:05:58,92.2,1,WALK,"",1.1,0
2,08:05:58,92.2,2,BUS,119,7.9,1
2,08:05:58,92.2,3,WALK,"",2.8,0
2,08:05:58,92.2,4,SUBWAY,Red,25,5.3
2,08:05:58,92.2,5,WALK,"",2.1,0
2,08:05:58,92.2,6,SUBWAY,Blue,40,6
2,08:05:58,92.2,7,WALK,"",1,0
