Stations,2018,2016,2014,2002
103rd Street (Beverly Hills),731,754,806,986
103rd Street (Rosemoor),34,42,60,80
107th Street,23,27,38,31
107th Street (Beverly Hills),368,465,395,645
111th Street,49,38,34,22
111th Street (Morgan Park),497,545,558,848
115th Street (Morgan Park),130,167,173,265
119th Street,264,264,292,375
11th Street (Michigan City),-,-,-,99
123rd Street,36,52,49,65
143rd Street (Orland Park),552,529,491,228
147th Street (Sibley Boulevard),757,945,984,"1,279"
153rd Street (Orland Park),567,591,609,445
179th Street (Orland Park),177,183,199,144
18th Street,30,66,28,43
211th Street (Lincoln Highway),565,789,855,"1,262"
27th Street,14,33,64,138
35th Street / 'Lou' Jones / Bronzeville,316,334,266,-
47th Street (Kenwood),109,170,144,80
53rd Street (Hyde Park),728,630,497,639
55th-56th-57th Street,"1,022","1,216","1,425",518
59th Street (University of Chicago),934,836,700,"1,479"
63rd Street,165,271,170,127
67th St.,-,-,-,-
75th Street (Grand Crossing),20,35,30,22
79th Street (Chatham),58,51,77,132
80th Avenue (Tinley Park),"1,982","1,936","1,929","2,235"
83rd Street,74,97,123,421
83rd Street (Avalon Park),62,55,53,94
87th Street,97,113,120,274
87th Street (Woodruff),51,42,69,55
91st Street (Beverly Hills),391,383,367,544
91st Street (Chesterfield),32,22,38,37
93rd Street (South Chicago),512,631,714,"1,090"
95th Street (Beverly Hills),443,420,486,654
95th Street (Chicago State University),24,41,47,51
99th Street (Beverly Hills),644,681,587,775
Antioch,189,201,232,160
Arlington Heights,"2,537","2,409","2,291","2,448"
Arlington Park,"1,661","1,659","1,626","1,691"
Ashburn,200,239,271,354
Ashland Avenue,98,96,72,123
Aurora,"1,788","1,920","1,972","1,577"
Barrington,"1,732","1,681","1,716","1,735"
Bartlett,"1,007","1,086","1,062",985
Bellwood,152,160,159,221
Belmont,"1,403","1,366","1,348","1,431"
Belmont Ave. (Franklin Park),32,34,36,-
Bensenville,406,372,437,456
Berkeley,158,188,155,166
Berwyn,646,682,704,806
Beverly Shores,-,-,-,32
Big Timber Road,664,714,737,560
Blue Island,136,133,139,222
Blue Island (Vermont St. - Beverly Branch),128,122,186,-
Blue Island (Vermont St. - Main Line),549,610,497,999
Braeside,379,421,378,329
Brainerd,258,294,295,483
Brookfield,656,624,645,685
Bryn Mawr,61,93,109,225
Buffalo Grove,637,555,618,520
Burr Oak,100,91,108,162
Calumet,"1,060","1,089","1,124","1,100"
Carroll Avenue (Michigan City),-,-,-,157
Cary,897,893,869,"1,020"
Central Street (Evanston),"1,297","1,303","1,169","1,251"
Cheltenham (79th Street),37,67,66,174
Chicago Ridge,322,355,364,365
Cicero,183,235,203,299
Clarendon Hills,791,829,740,878
Clybourn,"1,766","2,027","1,577","1,377"
Clyde (C),-,-,-,136
College Avenue,"1,009",891,"1,048",850
Congress Park,340,269,225,76
Cragin (C),-,-,-,72
Crystal Lake,"1,071","1,170","1,263","1,576"
Cumberland,427,418,414,385
Davis Street (Evanston),"1,980","2,134","2,060","1,507"
Dee Road,552,462,522,385
Deerfield,"1,176","1,136","1,025","1,162"
Des Plaines,"1,194","1,201","1,203","1,013"
Dune Park,-,-,-,440
East Chicago,-,-,-,"1,429"
Edgebrook,571,571,575,607
Edison Park,690,694,657,585
Elburn,278,329,343,-
Elgin,422,503,491,537
Elmhurst,"2,347","2,275","2,187","1,739"
Elmwood Park,449,411,396,436
Fairview Avenue (Downers Grove),413,432,378,416
Flossmoor,787,758,788,"1,030"
Forest Glen,363,355,360,305
Fort Sheridan,247,284,263,279
Fox Lake,299,336,392,460
Fox River Grove,413,449,411,421
Franklin Park,403,470,431,516
Galewood,265,258,276,335
Gary / Chicago Airport,-,-,-,177
Gary Metro Center,-,-,-,518
Geneva,"1,681","1,838","1,713","1,722"
Gladstone Park,200,234,184,131
Glen Ellyn,"1,738","1,841","1,724","1,629"
Glencoe,633,669,475,708
Glenview,"1,459","1,374","1,388","1,360"
Golf,278,308,200,248
Grand / Cicero,92,101,118,-
Grayland,324,330,330,275
Grayslake,518,474,514,869
Great Lakes,221,260,266,163
Gresham,312,473,415,612
Halsted Street,107,97,82,35
Hammond,-,-,-,"1,124"
Hanover Park,"1,200","1,442","1,420","1,413"
Hanson Park,60,66,52,61
Harlem Avenue,383,377,436,500
Harvard,236,234,208,263
Harvey,496,573,744,"1,190"
Hazel Crest,238,387,389,618
Healy,361,370,309,300
