station,boardings_2018,boardings_2016,boardings_2014,boardings_2002,alightings_2018,alightings_2016,alightings_2014,alightings_2002
103rd Street (Beverly Hills),734,759,767,977,731,754,806,986
103rd Street (Rosemoor),36,37,43,82,34,42,60,80
107th Street,27,19,31,28,23,27,38,31
107th Street (Beverly Hills),395,451,413,668,368,465,395,645
111th Street,31,24,19,22,49,38,34,22
111th Street (Morgan Park),548,587,601,875,497,545,558,848
115th Street (Morgan Park),136,170,173,269,130,167,173,265
119th Street,269,279,327,405,264,264,292,375
11th Street (Michigan City),-,-,-,111,-,-,-,99
123rd Street,53,45,53,67,36,52,49,65
143rd Street (Orland Park),591,548,493,241,552,529,491,228
147th Street (Sibley Boulevard),829,984,"1,060","1,349",757,945,984,"1,279"
153rd Street (Orland Park),544,604,621,512,567,591,609,445
179th Street (Orland Park),208,201,190,166,177,183,199,144
18th Street,23,42,41,16,30,66,28,43
211th Street (Lincoln Highway),527,727,855,"1,241",565,789,855,"1,262"
27th Street,12,30,46,97,14,33,64,138
35th Street / 'Lou' Jones / Bronzeville,245,227,249,-,316,334,266,-
47th Street (Kenwood),94,82,94,72,109,170,144,80
53rd Street (Hyde Park),671,642,496,582,728,630,497,639
55th-56th-57th Street,"1,133","1,542","1,677",502,"1,022","1,216","1,425",518
59th Street (University of Chicago),812,674,484,"1,497",934,836,700,"1,479"
63rd Street,167,299,154,94,165,271,170,127
67th St.,-,-,-,-,-,-,-,-
75th Street (Grand Crossing),14,28,15,20,20,35,30,22
79th Street (Chatham),50,59,57,120,58,51,77,132
80th Avenue (Tinley Park),"2,064","2,050","1,932","2,297","1,982","1,936","1,929","2,235"
83rd Street,74,103,113,405,74,97,123,421
83rd Street (Avalon Park),56,40,50,95,62,55,53,94
87th Street,106,90,117,245,97,113,120,274
87th Street (Woodruff),56,41,56,48,51,42,69,55
91st Street (Beverly Hills),368,364,359,542,391,383,367,544
91st Street (Chesterfield),23,27,26,44,32,22,38,37
93rd Street (South Chicago),472,619,652,"1,108",512,631,714,"1,090"
95th Street (Beverly Hills),443,423,527,649,443,420,486,654
95th Street (Chicago State University),24,26,43,43,24,41,47,51
99th Street (Beverly Hills),645,725,621,759,644,681,587,775
Antioch,192,184,227,169,189,201,232,160
Arlington Heights,"2,506","2,578","2,349","2,496","2,537","2,409","2,291","2,448"
Arlington Park,"1,738","1,697","1,672","1,665","1,661","1,659","1,626","1,691"
Ashburn,229,218,255,353,200,239,271,354
