from_id,to_id,option,departure_time,total_duration,segment,mode,route,segment_duration,wait
tinley,lakebluff,1,08:09:44,149.7,1,WALK,"",0.6,0
tinley,lakebluff,1,08:09:44,149.7,2,RAIL,RI,42,17.7
tinley,lakebluff,1,08:09:44,149.7,3,WALK,"",14,0
tinley,lakebluff,1,08:09:44,149.7,4,RAIL,X1,27,7.4
tinley,lakebluff,1,08:09:44,149.7,5,WALK,"",0.8,0
tinley,lakebluff,1,08:09:44,149.7,6,RAIL,UP-N,38,2.2
tinley,lakebluff,1,08:09:44,149.7,7,WALK,"",0,0
tinley,lakebluff,2,08:09:44,149.7,1,WALK,"",0.6,0
tinley,lakebluff,2,08:09:44,149.7,2,RAIL,RI,42,17.7
tinley,lakebluff,2,08:09:44,149.7,3,WALK,"",2.5,0
tinley,lakebluff,2,08:09:44,149.7,4,SUBWAY,Blue,1,2.1
tinley,lakebluff,2,08:09:44,149.7,5,WALK,"",13.6,0
tinley,lakebluff,2,08:09:44,149.7,6,RAIL,UP-N,67,3.3
tinley,lakebluff,2,08:09:44,149.7,7,WALK,"",0,0
lakebluff,tinley,1,08:09:44,147,1,WALK,"",0,0
lakebluff,tinley,1,08:09:44,147,2,RAIL,UP-N,34,1.3
lakebluff,tinley,1,08:09:44,147,3,WALK,"",2.2,0
lakebluff,tinley,1,08:09:44,147,4,RAIL,X1,19,1.9
lakebluff,tinley,1,08:09:44,147,5,WALK,"",13.9,0
lakebluff,tinley,1,08:09:44,147,6,RAIL,RI,41,33.4
lakebluff,tinley,1,08:09:44,147,7,WALK,"",0.3,0
lakebluff,tinley,2,08:09:44,146.9,1,WALK,"",0,0
lakebluff,tinley,2,08:09:44,146.9,2,RAIL,UP-N,59,1.3
lakebluff,tinley,2,08:09:44,146.9,3,WALK,"",8.7,0
lakebluff,tinley,2,08:09:44,146.9,4,RAIL,X6,10,12.6
lakebluff,tinley,2,08:09:44,146.9,5,WALK,"",1,0
lakebluff,tinley,2,08:09:44,146.9,6,RAIL,RI,34,20
lakebluff,tinley,2,08:09:44,146.9,7,WALK,"",0.3,0
