option,departure_time,total_duration,segment,mode,route,segment_duration,wait
1,08:04:02,77.2,1,WALK,"",0.6,0
1,08:04:02,77.2,2,RAIL,UP-NW,40,1.4
1,08:04:02,77.2,3,WALK,"",2.1,0
1,08:04:02,77.2,4,BUS,60,9.1,1.1
1,08:04:02,77.2,5,WALK,"",1,0
1,08:04:02,77.2,6,RAIL,ME,18,3.9
1,08:04:02,77.2,7,WALK,"",0.1,0
2,08:04:02,77.2,1,WALK,"",0.6,0
2,08:04:02,77.2,2,RAIL,UP-NW,40,1.4
2,08:04:02,77.2,3,WALK,"",2.1,0
2,08:04:02,77.2,4,BUS,J14,9.9,1.6
2,08:04:02,77.2,5,WALK,"",3.8,0
2,08:04:02,77.2,6,RAIL,ME,16,1.8
2,08:04:02,77.2,7,WALK,"",0.1,0
3,08:09:44,100.1,1,WALK,"",0.6,0
3,08:09:44,100.1,2,RAIL,UP-NW,31,8.7
3,08:09:44,100.1,3,WALK,"",5.2,0
3,08:09:44,100.1,4,SUBWAY,Blue,26,1.9
3,08:09:44,100.1,5,WALK,"",1.9,0
3,08:09:44,100.1,6,BUS,2,20.4,1.2
3,08:09:44,100.1,7,WALK,"",3.2,0
