option,departure_time,total_duration,segment,mode,route,segment_duration,wait
1,08:09:44,71.6,1,WALK,"",1.8,0
1,08:09:44,71.6,2,SUBWAY,P,41.5,2.5
1,08:09:44,71.6,3,WALK,"",0.8,0
1,08:09:44,71.6,4,BUS,2,20.2,1.8
1,08:09:44,71.6,5,WALK,"",3.1,0
2,08:00:55,67.9,1,WALK,"",1.8,0
2,08:00:55,67.9,2,SUBWAY,P,11,1.3
2,08:00:55,67.9,3,WALK,"",0.2,0
2,08:00:55,67.9,4,SUBWAY,Red,23.5,2.9
2,08:00:55,67.9,5,WALK,"",0.3,0
2,08:00:55,67.9,6,BUS,2,22.2,1.7
2,08:00:55,67.9,7,WALK,"",3.1,0
3,08:02:02,71.2,1,WALK,"",1.1,0
3,08:02:02,71.2,2,RAIL,UP-N,30,1.9
3,08:02:02,71.2,3,WALK,"",2.1,0
3,08:02:02,71.2,4,BUS,60,9.3,4.1
3,08:02:02,71.2,5,WALK,"",1,0
3,08:02:02,71.2,6,RAIL,ME,18,3.7
3,08:02:02,71.2,7,WALK,"",0.1,0
4,08:02:02,71.2,1,WALK,"",1.1,0
4,08:02:02,71.2,2,RAIL,UP-N,30,1.9
4,08:02:02,71.2,3,WALK,"",2.1,0
4,08:02:02,71.2,4,BUS,J14,9.9,2.6
4,08:02:02,71.2,5,WALK,"",3.8,0
4,08:02:02,71.2,6,RAIL,ME,16,3.8
4,08:02:02,71.2,7,WALK,"",0.1,0
