option,departure_time,total_duration,segment,mode,route,segment_duration,wait
1,08:09:44,149.8,1,WALK,"",0.5,0
1,08:09:44,149.8,2,RAIL,RI,42,17.8
1,08:09:44,149.8,3,WALK,"",11.5,0
1,08:09:44,149.8,4,RAIL,X1,27,10
1,08:09:44,149.8,5,WALK,"",0.7,0
1,08:09:44,149.8,6,RAIL,UP-N,38,2.4
1,08:09:44,149.8,7,WALK,"",0,0
2,08:09:44,149.8,1,WALK,"",0.5,0
2,08:09:44,149.8,2,RAIL,RI,42,17.8
2,08:09:44,149.8,3,WALK,"",11.5,0
2,08:09:44,149.8,4,RAIL,X3,10,3
2,08:09:44,149.8,5,WALK,"",0.3,0
2,08:09:44,149.8,6,RAIL,UP-N,59,5.7
2,08:09:44,149.8,7,WALK,"",0,0
3,08:09:44,149.7,1,WALK,"",0.5,0
3,08:09:44,149.7,2,RAIL,RI,42,17.8
3,08:09:44,149.7,3,WALK,"",2,0
3,08:09:44,149.7,4,SUBWAY,Blue,1,2.6
3,08:09:44,149.7,5,WALK,"",11.1,0
3,08:09:44,149.7,6,RAIL,UP-N,67,5.8
3,08:09:44,149.7,7,WALK,"",0,0
