sheet_name,route,stop_id,match_method,mi_to_alignment
103rd (Beverly Hills),X6,metra-103rd-bev,full-name,0.0
103rd (Rosemoor),X3,crosstownerstation-103rd-rosemoor,full-name+nearest-of-2,0.0
103rd (Rosemoor),X4,crosstownerstation-103rd-rosemoor,full-name+nearest-of-2,0.0
107th,X3,crosstownerstation-107th-street-63,full-name+nearest-of-3,0.0
107th,X4,crosstownerstation-107th-street-63,full-name+nearest-of-3,0.0
107th (Beverly Hills),X6,metra-107th-bev,full-name,0.0
111th (Morgan Park),X6,metra-111th-bev,full-name,0.0
111th (Pullman),X3,crosstownerstation-111th-pullman,full-name+nearest-of-2,0.0
111th (Pullman),X4,crosstownerstation-111th-pullman,full-name+nearest-of-2,0.0
115th (Morgan Park),X6,metra-115th-bev,full-name,0.0
119th,X6,crosstownerstation-119th-street,full-name+nearest-of-2,0.0
119th (RLX),X3,crosstownerstation-119th-rlx,full-name,0.01
123rd,X6,crosstownerstation-123rd-street,full-name+nearest-of-2,0.0
130th/Indiana,X3,crosstownerstation-130th-indiana,full-name,0.0
147th (Sibley Blvd),X3,metra-147th-up,loose-name+nearest-of-2,0.01
18th (Soldier Field),X1,crosstownerstation-18th-soldier-field,full-name,0.0
18th (Soldier Field),X2,crosstownerstation-18th-soldier-field,full-name,0.0
18th (Soldier Field),X3,crosstownerstation-18th-soldier-field,full-name,0.0
18th (Soldier Field),X4,crosstownerstation-18th-soldier-field,full-name,0.0
27th,X1,crosstownerstation-27th-street,full-name+nearest-of-2,0.0
27th,X2,crosstownerstation-27th-street,full-name+nearest-of-2,0.0
27th,X3,crosstownerstation-27th-street,full-name+nearest-of-2,0.0
27th,X4,crosstownerstation-27th-street,full-name+nearest-of-2,0.0
"35th (""Lou"" Jones)",X6,crosstownerstation-35th-street-lou-jones,alias,0.09
47th (Kenwood),X1,crosstownerstation-47th-kenwood,full-name+nearest-of-2,0.0
47th (Kenwood),X2,crosstownerstation-47th-kenwood,full-name+nearest-of-2,0.0
47th (Kenwood),X3,crosstownerstation-47th-kenwood,full-name+nearest-of-2,0.0
47th (Kenwood),X4,crosstownerstation-47th-kenwood,full-name+nearest-of-2,0.0
51st/53rd,X1,crosstownerstation-51st-53rd-hyde-park,loose-name+nearest-of-2,0.0
51st/53rd,X2,crosstownerstation-51st-53rd-hyde-park,loose-name+nearest-of-2,0.0
51st/53rd,X3,crosstownerstation-51st-53rd-hyde-park,loose-name+nearest-of-2,0.0
51st/53rd,X4,crosstownerstation-51st-53rd-hyde-park,loose-name+nearest-of-2,0.0
55th-56th-57th,X1,crosstownerstation-55th-56th-57th,full-name+nearest-of-2,0.0
55th-56th-57th,X2,crosstownerstation-55th-56th-57th,full-name+nearest-of-2,0.0
55th-56th-57th,X3,crosstownerstation-55th-56th-57th,full-name+nearest-of-2,0.0
55th-56th-57th,X4,crosstownerstation-55th-56th-57th,full-name+nearest-of-2,0.0
59th (University of Chicago),X1,crosstownerstation-59th-university-of-chicago,full-name,0.0
59th (University of Chicago),X2,crosstownerstation-59th-university-of-chicago,full-name,0.0
59th (University of Chicago),X3,crosstownerstation-59th-university-of-chicago,full-name,0.0
59th (University of Chicago),X4,crosstownerstation-59th-university-of-chicago,full-name,0.0
59th/Perry,X6,crosstownerstation-59th-perry,full-name,0.0
63rd,X1,crosstownerstation-63rd-street,full-name+nearest-of-2,0.0
63rd,X2,crosstownerstation-63rd-street,full-name+nearest-of-2,0.0
63rd,X3,crosstownerstation-63rd-street,full-name+nearest-of-2,0.0
63rd,X4,crosstownerstation-63rd-street,full-name+nearest-of-2,0.0
